Site Name,Site Address,Site City,Site Telephone Number,Site Web Address,County Equivalent Name,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,lon,lat,popup
Katahdin Valley Health Center Lincoln,53 Transalpine Rd FL,Lincoln,207-538-3700,kvhc.org,Penobscot,-68.51386732,45.34583185,-68.51386732,45.34583185,"<b> Katahdin Valley Health Center Lincoln </b> <br> Address:  53 Transalpine Rd FL ,  Lincoln ,  Penobscot  County <br> Phone Number:  207-538-3700 <br> Website:  kvhc.org"
KVHC Southern Aroostook Community School,922 Dyer Brook Rd,Dyer Brook,207-538-3700,www.kvhc.org,Aroostook,-68.18427597,46.08678195,-68.18427597,46.08678195,"<b> KVHC Southern Aroostook Community School </b> <br> Address:  922 Dyer Brook Rd ,  Dyer Brook ,  Aroostook  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
Greater Portland Health at Peaks Island School,4 Church Ave,Portland,207-766-2528,NA,Cumberland,-70.1969047,43.66061765,-70.1969047,43.66061765,"<b> Greater Portland Health at Peaks Island School </b> <br> Address:  4 Church Ave ,  Portland ,  Cumberland  County <br> Phone Number:  207-766-2528 <br> Website:  NA"
STRONG AREA HEALTH CENTER,177 N Main St,Strong,207-684-4010,www.healthreachchc.org,Franklin,-70.21736861,44.81954296,-70.21736861,44.81954296,"<b> STRONG AREA HEALTH CENTER </b> <br> Address:  177 N Main St ,  Strong ,  Franklin  County <br> Phone Number:  207-684-4010 <br> Website:  www.healthreachchc.org"
BELGRADE REGIONAL HEALTH CENTER,4 Clement Way,Belgrade,207-495-3323,www.healthreachchc.org,Kennebec,-69.86611708,44.50398757,-69.86611708,44.50398757,"<b> BELGRADE REGIONAL HEALTH CENTER </b> <br> Address:  4 Clement Way ,  Belgrade ,  Kennebec  County <br> Phone Number:  207-495-3323 <br> Website:  www.healthreachchc.org"
Katahdin Valley Health Center Ashland,33 Walker St,Ashland,207-538-3700,www.kvhc.org,Aroostook,-68.39187191,46.62817566,-68.39187191,46.62817566,"<b> Katahdin Valley Health Center Ashland </b> <br> Address:  33 Walker St ,  Ashland ,  Aroostook  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
KVHC Brownville,180 Main Rd,Brownville,207-538-3700,www.kvhc.org,Piscataquis,-69.03388479,45.30338451,-69.03388479,45.30338451,"<b> KVHC Brownville </b> <br> Address:  180 Main Rd ,  Brownville ,  Piscataquis  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
Katahdin Valley Health Center,529 S Patten Rd,Patten,207-538-3700,www.kvhc.org,Penobscot,-68.45273626,45.95856196,-68.45273626,45.95856196,"<b> Katahdin Valley Health Center </b> <br> Address:  529 S Patten Rd ,  Patten ,  Penobscot  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
DIRIGO PINES RETIREMENT COMM.,9 Alumni Dr,Orono,207-866-7011,NA,Penobscot,-68.68971839,44.86922569,-68.68971839,44.86922569,"<b> DIRIGO PINES RETIREMENT COMM. </b> <br> Address:  9 Alumni Dr ,  Orono ,  Penobscot  County <br> Phone Number:  207-866-7011 <br> Website:  NA"
MIGRANT VOUCHER & MOBILE MEDICAL VAN STATEWIDE,9 Green St,Augusta,207-622-9252 x1,www.mainemigrant.org,Kennebec,-69.77644094,44.31281438,-69.77644094,44.31281438,"<b> MIGRANT VOUCHER & MOBILE MEDICAL VAN STATEWIDE </b> <br> Address:  9 Green St ,  Augusta ,  Kennebec  County <br> Phone Number:  207-622-9252 x1 <br> Website:  www.mainemigrant.org"
B Street Health Center,57 Birch St,Lewiston,207-753-5400,www.communityclinicalservices.com,Androscoggin,-70.21144336,44.09286364,-70.21144336,44.09286364,"<b> B Street Health Center </b> <br> Address:  57 Birch St ,  Lewiston ,  Androscoggin  County <br> Phone Number:  207-753-5400 <br> Website:  www.communityclinicalservices.com"
Lewiston Middle School-Based Health Center,75 Central Ave,Lewiston,207-795-4180,www.communityclinicalservices.com,Androscoggin,-70.20271034,44.10267499,-70.20271034,44.10267499,"<b> Lewiston Middle School-Based Health Center </b> <br> Address:  75 Central Ave ,  Lewiston ,  Androscoggin  County <br> Phone Number:  207-795-4180 <br> Website:  www.communityclinicalservices.com"
MIGRANT VOUCHER & MOBILE MEDICAL VAN NORTHERN ME,9 Green St,Augusta,207-622-9252,www.mainemigrant.org,Kennebec,-69.77644094,44.31281438,-69.77644094,44.31281438,"<b> MIGRANT VOUCHER & MOBILE MEDICAL VAN NORTHERN ME </b> <br> Address:  9 Green St ,  Augusta ,  Kennebec  County <br> Phone Number:  207-622-9252 <br> Website:  www.mainemigrant.org"
Health Access Network Lincoln,175 W Broadway,Lincoln,207-794-6700,NA,Penobscot,-68.52218091,45.36056615,-68.52218091,45.36056615,"<b> Health Access Network Lincoln </b> <br> Address:  175 W Broadway ,  Lincoln ,  Penobscot  County <br> Phone Number:  207-794-6700 <br> Website:  NA"
Temporary Site - Ramada Inn,357 Odlin Rd,Bangor,207-620-1406,NA,Penobscot,-68.81229744,44.78815399,-68.81229744,44.78815399,"<b> Temporary Site - Ramada Inn </b> <br> Address:  357 Odlin Rd ,  Bangor ,  Penobscot  County <br> Phone Number:  207-620-1406 <br> Website:  NA"
MSAD #70 Hodgdon High School,174 Hodgdon Mills Rd,Hodgdon,207-538-3700,www.kvhc.org,Aroostook,-67.86444509,46.05422475,-67.86444509,46.05422475,"<b> MSAD #70 Hodgdon High School </b> <br> Address:  174 Hodgdon Mills Rd ,  Hodgdon ,  Aroostook  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
Penobscot Pediatrics,6 Telcom Dr,Bangor,207-992-9200,NA,Penobscot,-68.81233809,44.81754145,-68.81233809,44.81754145,"<b> Penobscot Pediatrics </b> <br> Address:  6 Telcom Dr ,  Bangor ,  Penobscot  County <br> Phone Number:  207-992-9200 <br> Website:  NA"
EASTPORT HEALTH CARE,55 Franklin St,Calais,207-454-3022,http://www.eastporthealth.org,Washington,-67.26910407,45.18089842,-67.26910407,45.18089842,"<b> EASTPORT HEALTH CARE </b> <br> Address:  55 Franklin St ,  Calais ,  Washington  County <br> Phone Number:  207-454-3022 <br> Website:  http://www.eastporthealth.org"
BINGHAM AREA HEALTH CENTER,237 Main St,Bingham,207-672-4187,www.healthreachchc.org,Somerset,-69.88211227,45.05266842,-69.88211227,45.05266842,"<b> BINGHAM AREA HEALTH CENTER </b> <br> Address:  237 Main St ,  Bingham ,  Somerset  County <br> Phone Number:  207-672-4187 <br> Website:  www.healthreachchc.org"
KVHC Houlton Southside School,65 South St,Houlton,207-538-3700,www.kvhc.org,Aroostook,-67.84669742,46.11137454,-67.84669742,46.11137454,"<b> KVHC Houlton Southside School </b> <br> Address:  65 South St ,  Houlton ,  Aroostook  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
Auburn Middle School-Based Health Center,38 Falcon Dr,Auburn,207-783-3984,www.communityclinicalservices.com,Androscoggin,-70.25046246,44.09195253,-70.25046246,44.09195253,"<b> Auburn Middle School-Based Health Center </b> <br> Address:  38 Falcon Dr ,  Auburn ,  Androscoggin  County <br> Phone Number:  207-783-3984 <br> Website:  www.communityclinicalservices.com"
MMHP Milbridge,4 Maple St,Milbridge,207-485-2779,mainemobile.org,Washington,-67.88385745,44.538626,-67.88385745,44.538626,"<b> MMHP Milbridge </b> <br> Address:  4 Maple St ,  Milbridge ,  Washington  County <br> Phone Number:  207-485-2779 <br> Website:  mainemobile.org"
Temporary Site - Quality Inn Bangor Mall,750 Hogan Rd,Bangor,207-620-1406,NA,Penobscot,-68.74386172,44.83986862,-68.74386172,44.83986862,"<b> Temporary Site - Quality Inn Bangor Mall </b> <br> Address:  750 Hogan Rd ,  Bangor ,  Penobscot  County <br> Phone Number:  207-620-1406 <br> Website:  NA"
"REGIONAL MEDICAL CENTER AT LUBEC, INC.",43 S Lubec Rd,Lubec,207-733-1090,www.rmcl.org,Washington,-66.99929128,44.84599311,-66.99929128,44.84599311,"<b> REGIONAL MEDICAL CENTER AT LUBEC, INC. </b> <br> Address:  43 S Lubec Rd ,  Lubec ,  Washington  County <br> Phone Number:  207-733-1090 <br> Website:  www.rmcl.org"
Bucksport High School,102 Broadway,Bucksport,207-469-7371,NA,Hancock,-68.78221999,44.57588925,-68.78221999,44.57588925,"<b> Bucksport High School </b> <br> Address:  102 Broadway ,  Bucksport ,  Hancock  County <br> Phone Number:  207-469-7371 <br> Website:  NA"
Fort Kent Health Education & Training Center,3 Mountainview Dr,Fort Kent,207-316-6446,www.frrh.org,Aroostook,-68.59172129,47.26810857,-68.59172129,47.26810857,"<b> Fort Kent Health Education & Training Center </b> <br> Address:  3 Mountainview Dr ,  Fort Kent ,  Aroostook  County <br> Phone Number:  207-316-6446 <br> Website:  www.frrh.org"
EASTSIDE REHAB & LIVING CTR,516 Mount Hope Ave,Bangor,207-947-6131,NA,Penobscot,-68.74521238,44.82125086,-68.74521238,44.82125086,"<b> EASTSIDE REHAB & LIVING CTR </b> <br> Address:  516 Mount Hope Ave ,  Bangor ,  Penobscot  County <br> Phone Number:  207-947-6131 <br> Website:  NA"
Katahdin Valley Health Center Houlton,59 Bangor St,Houlton,207-538-3700,www.kvhc.org,Aroostook,-67.84656205,46.12301474,-67.84656205,46.12301474,"<b> Katahdin Valley Health Center Houlton </b> <br> Address:  59 Bangor St ,  Houlton ,  Aroostook  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
Brewer Community School,92 Pendleton St,Brewer,207-992-2393,NA,Penobscot,-68.77078866,44.775521,-68.77078866,44.775521,"<b> Brewer Community School </b> <br> Address:  92 Pendleton St ,  Brewer ,  Penobscot  County <br> Phone Number:  207-992-2393 <br> Website:  NA"
Edward Little High School-Based Health Center,77 Harris St,Auburn,207-782-6827,www.communityclinicalservices.com,Androscoggin,-70.23472058,44.09456366,-70.23472058,44.09456366,"<b> Edward Little High School-Based Health Center </b> <br> Address:  77 Harris St ,  Auburn ,  Androscoggin  County <br> Phone Number:  207-782-6827 <br> Website:  www.communityclinicalservices.com"
