Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,FQHC Site Medicare Billing Number,FQHC Site NPI Number,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Site Added to Scope this Date,Site Add to Scope Date Text,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization State,Health Center Organization ZIP Code,Health Center Organization Contact Name,Health Center Organization Contact Telephone Number,Health Center Organization Contact Email Address,Grantee Organization Type Description,Migrant Health Centers HRSA Grant Subprogram Indicator,Community Health HRSA Grant Subprogram Indicator,School Based Health Center HRSA Grant Subprogram Indicator,Public Housing HRSA Grant Subprogram Indicator,Health Care for the Homeless HRSA Grant Subprogram Indicator,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,Geocoding Artifact Rural Status Indicator,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,State and County Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State FIPS and Congressional District Number Code,Congressional District Number,Congressional District Name,Congressional District Code,U.S. Congressional Representative Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Data Warehouse Record Create Date Text,Data Warehouse Record Create Date
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-030323,Greater Portland Health at Westbrook High School,125 Stroudwater St,Westbrook,ME,04092-4045,207-854-0810,www.greaterportlandhealth.org,18,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,02/02/2020,2020/02/02,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.35409757,43.67355793,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS02450,015110,BPS-H80-005692,KATAHDIN NURSING HOME,22 Walnut St,Millinocket,ME,04462-2128,207-794-6700,www.hanfqhc.org,10,4,Nursing Home,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,02/09/2006,2006/02/09,"Health Access Network, Inc.",175 W Broadway,Lincoln,ME,04457-4000,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.69437664,45.65683017,Y,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-013757,Portland Community Health Center at Preble Street,63 Preble St,Portland,ME,04101-3014,207-874-2141,www.portlandcommunityhealthcenter.org,41.25,7,All Other Clinic Types,1,Active,201912,1013331495,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,04/15/2014,2014/04/15,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.26158684,43.65899022,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04191,019970,BPS-H80-004002,YORK COUNTY COMMUNITY ACTION CORPORATION,6 Spruce St,Sanford,ME,04073-2917,207-324-5762,n/a,2,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/03/2005,2005/01/03,York County Community Action Corporation,6 Spruce St,Sanford,ME,04073-2917,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,Y,Y,-70.77148022,43.44238139,Y,N,N,23031,York County,York,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS08769,0115570,BPS-H80-012876,Pines Kimball Community Health Center,11 Harmony Ln,Fort Fairfield,ME,04742-3354,207-472-0590,www.pineshealthservices.org,50,7,All Other Clinic Types,1,Active,201908,1508291089,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,09/03/2013,2013/09/03,Pines Health Services,74 Access Hwy,Caribou,ME,04736-3807,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.84407196,46.76702393,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-006400,BANGOR NURSING & REHABILITATION CENTER,103 Texas Ave,Bangor,ME,04401-4324,207-947-4557,,32,4,Nursing Home,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,01/02/2005,2005/01/02,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.80010184,44.80854403,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00526,013470,BPS-H80-002146,EAST GRAND HEALTH CENTER,201 Houlton Rd,Danforth,ME,04424-3140,207-448-2347,eghc.org,42,7,All Other Clinic Types,1,Active,201830,1467489666,1,Permanent,2,Service Delivery Site,2,Subrecipient,1,Full-Time,1,Year-Round,12/01/2000,2000/12/01,St Croix Regional Family Health Center,136 Mill St,Princeton,ME,04668-3344,Corinne LaPlant,207-796-5503,claplant@scrfhc.org,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.86215365,45.66667137,Y,N,N,23029,Washington County,Washington,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00443,010040,BPS-H80-002348,Temporary Site - MAINE MOBILE HEALTH PROGRAM,9 Green St,Augusta,ME,04330-7451,207-622-9252,www.mainemobile.org,40,7,All Other Clinic Types,1,Active,201821,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/07/1986,1986/01/07,"Maine Mobile Health Program, Inc",9 Green St Ste 1,Augusta,ME,04330-7451,,,,"Corporate Entity, Federal Tax Exempt",Y,N,N,N,N,-69.77644094,44.31281438,Y,N,N,23011,Kennebec County,Kennebec,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-006681,BANGOR AREA HOMELESS SHELTER,26 Cedar St,Bangor,ME,04401-7800,207-947-6018,,1,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,01/02/2005,2005/01/02,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.77378931,44.79694909,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00443,010040,BPS-H80-024875,MMHP Lewiston,11 Lisbon St Ste 102C,Lewiston,ME,04240-7198,207-622-9252,mainemobile.org,,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,10/23/2018,2018/10/23,"Maine Mobile Health Program, Inc",9 Green St Ste 1,Augusta,ME,04330-7451,,,,"Corporate Entity, Federal Tax Exempt",Y,N,N,N,N,-70.21809893,44.09840546,N,N,N,23001,Androscoggin County,Androscoggin,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-005152,ELIZABETH LEVINSON CENTER,159 Hogan Rd,Bangor,ME,04401-5603,207-941-4400,,3,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/03/2006,2006/01/03,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.73888924,44.81973021,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-017566,CCS Behavioral at LAIM (Room A),3 Willow Run,Auburn,ME,04210-8501,207-513-3550,http://www.stmarysmaine.com/Our-Providers/l-a-internal-medicine.html,8,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,02/03/2016,2016/02/03,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,ME,04240,Coleen  Elias,207-513-3897,celias@stmarysmaine.com,NA,NA,NA,NA,NA,NA,-70.235053,44.120156,N,N,N,23001,Androscoggin County,Androscoggin,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS06657,010450,BPS-H80-023366,North Haven Community School,93 Pulpit Harbor Rd,North Haven,ME,04853-3100,207-867-4707,,8,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,07/10/2018,2018/07/10,"ISLANDS COMMUNITY MEDICAL SERVICES, INC.",15 Medical Center Loop,Vinalhaven,ME,04863-4119,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.87631129,44.14992667,Y,N,N,23013,Knox County,Knox,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-030707,Temporary Site-Healthcare for the Homeless,20 Portland St,Portland,ME,04101-2912,207-805-3886,,40,7,All Other Clinic Types,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,04/13/2020,2020/04/13,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.2621672,43.65843744,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS02450,015110,BPS-H80-003390,HAN FAMILY DENTAL ,9 Main St,Lincoln,ME,04457-1253,207-794-6700,www.hanfqhc.org,45,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/20/2005,2005/01/20,"Health Access Network, Inc.",175 W Broadway,Lincoln,ME,04457-4000,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.50439519,45.36251951,Y,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-005829,TREATS FALLS HOUSE,2 Hillside Rd,Orono,ME,04473-4459,207-866-3769,,4,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,01/02/2005,2005/01/02,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.65900232,44.88830814,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-012867,CCS Second Street Health Center,60 Second St,Auburn,ME,04210-6853,207-755-3456,www.communityclinicalservices.com,54,7,All Other Clinic Types,1,Active,201906,1487080958,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,0,Unknown,08/28/2013,2013/08/28,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,ME,04240,Coleen  Elias,207-513-3897,celias@stmarysmaine.com,NA,NA,NA,NA,NA,NA,-70.22119939,44.08707418,N,N,N,23001,Androscoggin County,Androscoggin,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS08769,0115570,BPS-H80-002796,Pines ST. JOHN VALLEY HEALTH CENTER,4 Main St,Van Buren,ME,04785-1009,207-868-2796,www.pineshealthservices.org,50,7,All Other Clinic Types,1,Active,201866,1629393327,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/09/2007,2007/01/09,Pines Health Services,74 Access Hwy,Caribou,ME,04736-3807,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.92764573,47.15167366,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-009921,Lewiston High School-Based Health Center,156 East Ave,Lewiston,ME,04240-5626,207-795-4144,www.communityclinicalservices.com,40,2,School,1,Active,201896,1003109695,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,08/24/2010,2010/08/24,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,ME,04240,Coleen  Elias,207-513-3897,celias@stmarysmaine.com,NA,NA,NA,NA,NA,NA,-70.20192445,44.09318027,N,N,N,23001,Androscoggin County,Androscoggin,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-018698,Greater Portland Health at Deering High School,370 Stevens Ave,Portland,ME,04103-2607,207-874-8260,,24.5,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/06/2016,2016/10/06,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.29630317,43.67154041,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00526,013470,BPS-H80-003987,ST. CROIX REGIONAL FAMILY HEALTH CENTER,136 Mill St,Princeton,ME,04668-3344,207-796-5503,scrfhc.org,44,7,All Other Clinic Types,1,Active,201829,1831174614,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/01/1991,1991/01/01,St Croix Regional Family Health Center,136 Mill St,Princeton,ME,04668-3344,Corinne LaPlant,207-796-5503,claplant@scrfhc.org,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.56347366,45.23038999,Y,N,N,23029,Washington County,Washington,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00591,010340,BPS-H80-027630,Jewett School,66 Bridge St,Bucksport,ME,04416-4087,207-469-6644,,32,2,School,1,Active,,1043271133,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,04/09/2019,2019/04/09,Bucksport Regional Health Center,110 Broadway,Bucksport,ME,04416-4612,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.78688016,44.57598699,Y,N,N,23009,Hancock County,Hancock,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00630,010570,BPS-H80-002183,Eastport Health Care Machias,53 Fremont St,Machias,ME,04654-1320,207-255-0247,http://www.eastporthealth.org,41,7,All Other Clinic Types,1,Active,201860,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,12/15/2007,2007/12/15,Eastport Health Care Inc,30 Boynton St,Eastport,ME,04631-1306,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.46144713,44.70989933,Y,N,N,23029,Washington County,Washington,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-032270,PCHC Main Lab,992 Union St Ste J,Bangor,ME,04401-3057,207-992-2336,,45,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,04/07/2021,2021/04/07,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.80715883,44.81553855,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00396,010530,BPS-H80-007493,MERCY HOME ,3388 Aroostook Rd,Eagle Lake,ME,04739-3239,207-444-5152,N/A,6,4,Nursing Home,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,07/01/1990,1990/07/01,Fish River Rural Health,10 Carter St,Eagle Lake,ME,04739-3060,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.59580998,47.03619371,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00443,010040,BPS-H80-005367,MIGRANT VOUCHER & MOBILE MEDICAL VAN DOWNEAST REG.,9 Green St,Augusta,ME,04330-7451,207-622-9252,www.mainemigrant.org,40,7,All Other Clinic Types,1,Active,,,5,Mobile Van,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,2,Seasonal,01/07/1991,1991/01/07,"Maine Mobile Health Program, Inc",9 Green St Ste 1,Augusta,ME,04330-7451,,,,"Corporate Entity, Federal Tax Exempt",Y,N,N,N,N,-69.77644094,44.31281438,Y,N,N,23011,Kennebec County,Kennebec,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS06657,010450,BPS-H80-007286,VINALHAVEN ELDERCARE SERVICES,17 Beaver Dam Rd,Vinalhaven,ME,04863-3915,207-863-9980,none,2,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,09/16/2006,2006/09/16,"ISLANDS COMMUNITY MEDICAL SERVICES, INC.",15 Medical Center Loop,Vinalhaven,ME,04863-4119,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.82529681,44.04999128,Y,N,N,23013,Knox County,Knox,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-017567,CCS Behavioral at SMMA,99 Campus Ave STE 201,Lewiston,ME,04240-6045,207-777-8810,http://www.stmarysmaine.com/Our-Providers/st-marys-medical-associates.html,30,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,02/03/2016,2016/02/03,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,ME,04240,Coleen  Elias,207-513-3897,celias@stmarysmaine.com,NA,NA,NA,NA,NA,NA,-70.1983841,44.10127991,N,N,N,23001,Androscoggin County,Androscoggin,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-017571,CCS Behavioral at AMA,2 Great Falls Plz STE 21,Auburn,ME,04210-5966,207-330-3950,http://www.stmarysmaine.com/Our-Providers/auburn-medical-associates.html,16,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,02/03/2016,2016/02/03,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,ME,04240,Coleen  Elias,207-513-3897,celias@stmarysmaine.com,NA,NA,NA,NA,NA,NA,-70.22601522,44.09871853,N,N,N,23001,Androscoggin County,Androscoggin,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-009214,Hope House,181 Corporate Dr,Bangor,ME,04401-4314,207-992-2636,,45,7,All Other Clinic Types,1,Active,201899,1174845697,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,12/23/2009,2009/12/23,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.80581756,44.80451333,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-008099,HealthReach Community Health Centers,10 Water St STE 305,Waterville,ME,04901-6566,207-872-5610,www.healthreachchc.org,,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,1,Full-Time,1,Year-Round,02/10/2009,2009/02/10,Healthreach Community Health Centers,10 Water St STE 305,Waterville,ME,04901-6566,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-69.62954608,44.5461622,Y,N,N,23011,Kennebec County,Kennebec,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS02448,015170,BPS-H80-002945,Sebasticook Family Doctors,118 Moosehead Trl STE 5,Newport,ME,04953-4056,207-368-5189,www.hhcme.org,50,7,All Other Clinic Types,1,Active,201842,1063464634,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,02/01/2006,2006/02/01,Sebasticook Family Doctors,118 Moosehead Trl STE 5,Newport,ME,04953-4056,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-69.28172199,44.84183413,Y,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-018696,Greater Portland Health at Casco Bay High School,196 Allen Ave,Portland,ME,04103-3711,207-874-8160,,16.5,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/06/2016,2016/10/06,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.29394249,43.6973363,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-019504,KVHC Houlton Elementary School,60 South St,Houlton,ME,04730-1500,207-538-3700,www.kvhc.org,8,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,04/10/2017,2017/04/10,Katahdin Valley Health Center,529 S Patten Rd,Patten,ME,04765-3007,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.84501492,46.11126733,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS08769,0115570,BPS-H80-002630,PINES Caribou Health Center,74 Access Hwy,Caribou,ME,04736-3807,207-498-2356,www.pineshealthservices.org,60.5,7,All Other Clinic Types,1,Active,201868,1942277819,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/09/2007,2007/01/09,Pines Health Services,74 Access Hwy,Caribou,ME,04736-3807,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.99254429,46.87401419,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
